Restaurant Name,City,Cost for two,Currency,Price range,Rating,Rating text,Votes
BED,New Delhi,2700,Indian Rupee,4,3,Average,9
Ooma,Mandaluyong City,1500,Botswana Pula(P),4,4.9,Excellent,365
Amir,Rio de Janeiro,170,Brazilian Real(R$),4,4.2,Very Good,11
I Am,Singapore,60,Dollar($),4,3.2,Average,32
Jaan,Singapore,430,Dollar($),4,3.8,Good,35
RSVP,New Delhi,3000,Indian Rupee,4,2.7,Average,16
Buzz,New Delhi,2000,Indian Rupee,4,3.4,Average,220
Hype,New Delhi,4700,Indian Rupee,4,3.7,Good,142
Toit,Bangalore,2000,Indian Rupee,4,4.8,Excellent,10934
Nobu,London,100,Pounds,4,4.4,Very Good,311
Zaoq,Doha,170,Qatari Rial(QR),4,4.2,Very Good,189
Roy's,Rest of Hawaii,70,Dollar($),4,4.2,Very Good,531
Tamba,Abu Dhabi,500,Emirati Diram(AED),4,4.7,Excellent,201
Tribe,New Delhi,2200,Indian Rupee,4,3.3,Average,89
Nueva,New Delhi,2500,Indian Rupee,4,3.3,Average,14
Guppy,New Delhi,2900,Indian Rupee,4,4.1,Very Good,665
Baris,New Delhi,2000,Indian Rupee,4,4.3,Very Good,43
Nagai,Gurgaon,3300,Indian Rupee,4,4.3,Very Good,56
Olive,Wellington City,80,NewZealand($),4,4.2,Very Good,146
Ombra,Wellington City,70,NewZealand($),4,4.5,Excellent,152
Steak,Edinburgh,55,Pounds,4,4.2,Very Good,64
Craft,Johannesburg,350,Rand(R),4,4.1,Very Good,1207
Kream,Pretoria,450,Rand(R),4,4.7,Excellent,373
Colony,Singapore,220,Dollar($),4,3.8,Good,30
Zaroob,Sharjah,110,Emirati Diram(AED),4,3.9,Good,69
Gazebo,Sharjah,120,Emirati Diram(AED),4,4.1,Very Good,372
Liquid,New Delhi,2400,Indian Rupee,4,3.2,Average,11
Raasta,Gurgaon,2000,Indian Rupee,4,3.8,Good,1065
Raasta,New Delhi,2000,Indian Rupee,4,3.9,Good,1878
Dhuaan,Kanpur,1500,Indian Rupee,4,4.3,Very Good,155
Tashan,New Delhi,2000,Indian Rupee,4,4.6,Excellent,304
Gaucho,Manchester,80,Pounds,4,4.5,Excellent,602
Beluga,Cape Town,500,Rand(R),4,3.8,Good,619
tashas,Cape Town,320,Rand(R),4,4.1,Very Good,374
Marble,Johannesburg,955,Rand(R),4,4.5,Excellent,222
Vikings,Pasay City,2000,Botswana Pula(P),4,4.2,Very Good,677
Shirley,Rio de Janeiro,250,Brazilian Real(R$),4,4.2,Very Good,8
Pier 70,Paynesville,120,Dollar($),4,2.6,Average,16
Nando's,Sharjah,160,Emirati Diram(AED),4,4.2,Very Good,265
Denny's,Abu Dhabi,190,Emirati Diram(AED),4,4.6,Excellent,207
Chicane,Noida,2500,Indian Rupee,4,2.2,Poor,116
Le Club,Puducherry,1400,Indian Rupee,4,3.5,Good,328
Curlies,Goa,1500,Indian Rupee,4,3.5,Good,1681
Embassy,New Delhi,2000,Indian Rupee,4,3.5,Good,706
Privee',New Delhi,5000,Indian Rupee,4,3.6,Good,61
The Ark,Gurgaon,2000,Indian Rupee,4,3.7,Good,45
Chin Mi,Kanpur,1500,Indian Rupee,4,3.9,Good,86
Antares,Goa,2000,Indian Rupee,4,4.2,Very Good,367
Zaffran,New Delhi,2000,Indian Rupee,4,4.5,Excellent,524
Loretta,Wellington City,80,NewZealand($),4,4.2,Very Good,113
Baduzzi,Auckland,120,NewZealand($),4,4.6,Excellent,413
Eatopia,Doha,200,Qatari Rial(QR),4,3.9,Good,197
Hudsons,Johannesburg,350,Rand(R),4,4,Very Good,861
Airborne,Noida,2000,Indian Rupee,4,0,Not rated,0
Voda Bar,New Delhi,2200,Indian Rupee,4,3.2,Average,28
The Krib,New Delhi,2500,Indian Rupee,4,3.2,Average,14
The Nest,New Delhi,2200,Indian Rupee,4,3.5,Good,218
L'Angoor,Gurgaon,2500,Indian Rupee,4,3.5,Good,57
Verandah,Kanpur,1500,Indian Rupee,4,3.7,Good,160
Side Wok,New Delhi,2000,Indian Rupee,4,3.8,Good,223
Sufiaana,New Delhi,2000,Indian Rupee,4,3.8,Good,300
Side Wok,Gurgaon,2000,Indian Rupee,4,3.9,Good,280
Parallel,New Delhi,2000,Indian Rupee,4,4,Very Good,79
Number 8,New Delhi,2200,Indian Rupee,4,4,Very Good,165
Fat Fish,Goa,1000,Indian Rupee,4,4.2,Very Good,856
Pa Pa Ya,New Delhi,2000,Indian Rupee,4,4.7,Excellent,268
wagamama,Wellington City,70,NewZealand($),4,3.7,Good,131
Gymkhana,London,80,Pounds,4,4.7,Excellent,214
Yauatcha,London,90,Pounds,4,4.7,Excellent,1326
Hakkasan,London,120,Pounds,4,4.8,Excellent,395
Gymkhana,Doha,250,Qatari Rial(QR),4,4.7,Excellent,114
The Lokal,Singapore,60,Dollar($),4,3.1,Average,33
Sky On 57,Singapore,300,Dollar($),4,3.4,Average,34
Natalia's,Macon,70,Dollar($),4,4.2,Very Good,379
Paper Fig,Sharjah,150,Emirati Diram(AED),4,4.5,Excellent,143
F Marquee,New Delhi,2000,Indian Rupee,4,0,Not rated,3
Club Mojo,Gurgaon,2000,Indian Rupee,4,2.6,Average,35
Town Hall,Gurgaon,2500,Indian Rupee,4,3.5,Good,13
Town Hall,New Delhi,2500,Indian Rupee,4,3.8,Good,1186
On The Go,Coimbatore,1500,Indian Rupee,4,4,Very Good,215
Ardor 2.1,New Delhi,2000,Indian Rupee,4,4.1,Very Good,1821
Dragonfly,Wellington City,100,NewZealand($),4,4.3,Very Good,143
Purnell's,Birmingham,120,Pounds,4,4.5,Excellent,265
La Parada,Cape Town,360,Rand(R),4,3.7,Good,255
